organization,current_role,data_challenge,data_skills_assessing_and_improving_the_quality_of_data,data_skills_communicating_data_insights_effectively,data_skills_creating_and_using_data_visualisations,data_skills_data_policy_and_legislation,data_skills_data_privacy_and_security,data_skills_finding_data_to_help_my_work,data_skills_including_data_considerations_in_contracts_and_agreements,data_skills_publishing_real_time_data,data_skills_releasing_open_data,data_skills_requesting_data_held_by_another_agency,data_skills_research_methodologies,data_skills_sharing_data_outside_my_organization,data_skills_simple_advice_on_what_data_is_and_how_it_applies_to_my_work,data_skills_understanding_data_governance_rules,data_skills_using_data_to_improve_decisions_and_service_delivery,data_skills_understanding_of_corporate_data_management_processes,data_skills_other_please_specify,data_related_learning_artificial_intelligence,data_related_learning_big_data,data_related_learning_computer_programming_or_coding,data_related_learning_data_sharing,data_related_learning_data_ethics_and_security,data_related_learning_machine_learning,data_related_learning_predictive_analytics,data_related_learning_statistics,data_related_learning_other_please_specify,learning_needs_self_paced_e_learning,learning_needs_video_tutorials,learning_needs_webinars,learning_needs_one_day_workshop,learning_needs_weeklong_workshop,learning_needs_online_tools_and_resources,learning_needs_a_classroom_environment_training_course,learning_needs_a_collaborative_online_community,learning_needs_mentoring,learning_needs_university_courses_and_degrees,learning_needs_all_of_the_above
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,Ease of collection & analysis for program evaluation purposes over time,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,selected,not selected,selected,selected,not selected,selected,selected,data vis tools,selected,selected,selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected
"Jobs, Trade and Technology",Business users,access,selected,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,selected,NA,not selected,selected,not selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected
Finance,Business users,"Ability to access the data we need to do our jobs, as another Division within our Ministry tends to control this data.",selected,not selected,selected,selected,selected,selected,not selected,not selected,not selected,selected,selected,selected,not selected,selected,not selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,not selected,NA,selected,not selected,selected,selected,selected,selected,selected,not selected,selected,not selected,not selected
Government Communications and Public Engagement,Executive users,"lack of data around services ( how many, how many 'paper' forms, how many user should, could. must access a service, how many fail, how often do they fail, how much does it cost to administer the service, what is the societal cost of the person not getting timely service,...) and the cost of integrating the service data we do have into useful realtime decision making information for citizens and government",not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,NA,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Environment and Climate Change Strategy,Business users,"Accessing reliable, consistent data
Support in data analysis and interpretation",selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Attorney General,Executive users,Extracting relevant data from operational systems.,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Transportation and Infrastructure,Business users,Siloed and duplicated data sets,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,not selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,Maintaining live data feeds coming from multiple sources into ArcGIS Online,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,NA,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected
BC Public Service Agency,Business users,"Data gathering regarding mailing lists. I frequently communicate to large groups, and often get a series of responses from people who were inaccurately added to a Ministry's mailing list etc who are peeved to receive the extra emails",not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,Ability to create databases on the fly that are accessible to coworkers doing the same work across the province. Access to cloud services to maximize efficiency working mobile.,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,NA,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Education,Executive users,Data sharing across ministries,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Citizens' Services,Data professionals,lack of a data inventory within the various inner Ministry silos,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,selected,selected,selected,selected,"schema, data dictionary",selected,selected,selected,selected,selected,selected,selected,selected,data architects willing to share their knowledge,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Municipal Affairs and Housing,Business users,"Historical data is all context sensitive. Therefore what is labeled as ""x"" and collected today cannot be compared to data labeled as ""x"" from a different division or branch in the ministry, or even from the same area in the ministry as little as a few years ago.",selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,selected,selected,NA,selected,selected,not selected,not selected,selected,selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected
Health,Business users,feedback on its use,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,confidence in data quality - lack of attention paid by senior management to data quality,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,how to determine the most meaningful indicators for continuous quality improvement in the health care system,not selected,selected,selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected
Public Safety and Solicitor General,Business users,NA,selected,selected,selected,not selected,not selected,selected,selected,selected,not selected,not selected,selected,selected,not selected,not selected,selected,not selected,NA,selected,not selected,selected,selected,not selected,selected,not selected,selected,NA,selected,selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected
Environment and Climate Change Strategy,Data professionals,The ability to analyze and communicate results from 'big data' efficiently efficiently and  effectively.  I am a R user that operates from a single work station. Streamlining  shareable outputs with non-R users and reducing  data crunching times are my top two wish list items!,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,not selected,selected,selected,not selected,not selected,not selected,selected,selected,selected,selected,not selected
"Advanced Education, Skills and Training",Data professionals,"The belief, by the executive, that contractors know about our data than the staff and, as a result, the staff are excluded from the projects.",not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,selected,selected,selected,not selected
Citizens' Services,Business users,"Not enough data is available in well-structured, easy to find formats to inform the work I'm doing.",not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,selected,selected,not selected,not selected,not selected,not selected,not selected
Agriculture,Data professionals,Availability of clean and consistent data,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,NA,not selected,selected,selected,selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,"Many data creators and users are unaware of any standards of data governance or management.  For example: metadata standards not know or adhered to, data dictionaries (describing the content of a data source) are often non existent, existing data schemas are not used (making integration of datasets a challenge).
It is also often difficult to locate data, since many datasets are stored locally, and, thus, are known by few users.",not selected,not selected,not selected,selected,selected,selected,selected,not selected,not selected,selected,selected,selected,not selected,selected,not selected,selected,NA,not selected,not selected,selected,selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
BC Public Service Agency,Data professionals,Getting relevant data from ministries,selected,not selected,not selected,not selected,not selected,selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,selected,selected,selected,not selected,not selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,selected,selected,not selected,not selected
Finance,Business users,"Records management is poor, inconsistent and has far too little dedicated FTEs (one for a 600+ person division as far as I'm aware).
I'm not aware of what data is available to me to do my job.",selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,NA,not selected,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
Public Safety and Solicitor General,Business users,access to multiple data sets from partners and stakeholders,selected,selected,selected,not selected,not selected,not selected,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,selected,not selected,not selected,selected,not selected,selected,selected,not selected,NA,selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,"Having the technology to keep up to the demand of the products, requests and size of data required.",selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,not selected,selected,selected,selected,NA,selected,not selected,not selected,selected,selected,selected,selected,not selected,not selected,not selected,selected
BC Public Service Agency,Data professionals,Communicating with folks without training in data about data.,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,selected,not selected,not selected,selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected
Public Safety and Solicitor General,Business users,"Preventing duplication, maintaining data quality, and ensuring end-to-end data is being communicated correctly throughout the system.",selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,NA,not selected,selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected
Public Safety and Solicitor General,Executive users,"Not all data that we use is owned by our Ministry; it is owned by an agency that fiercely protects their data.   To obtain data, several MOUs are used and extraction of data takes a long time.  Linked data is also required, but sharing of data between government ministries is a challenge",selected,selected,not selected,not selected,selected,selected,selected,not selected,not selected,selected,not selected,selected,not selected,selected,selected,selected,NA,selected,selected,not selected,selected,selected,selected,selected,not selected,NA,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,Time to keep metadata up to date,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,NA,selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected
Public Safety and Solicitor General,Business users,NA,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,NA,selected,not selected,selected,not selected,not selected,not selected,selected,selected,NA,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Education,Business users,"Understanding the exact scope of the data we have, how reliable it is, where it all is, who makes decisions about it, and how it all fits together.",selected,selected,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,selected,selected,selected,not selected,not selected,selected,NA,selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
Finance,Business users,The lack of available data; the ministry doesn't own relevant data in the area,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,NA,selected,not selected,not selected,selected,not selected,not selected,selected,selected,NA,selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected
Education,Business users,"The three information systems I use do not talk to each other dynamically. Believe it or not, the data is manually exported from one and then imported into the others ONCE a year. This is inexcusable. I realize this is an IT issue and not a data issue per se. However, it undercuts your work. I think you need to hold ministry's to a higher standard.",selected,selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,"How to build one big system for all the data, or failing that, systems that can easily share data dynamically to get work done",not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Community Living BC,Business users,NA,selected,selected,not selected,selected,selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,selected,not selected,NA,not selected,selected,not selected,selected,selected,not selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Education,Executive users,"understanding the data, and what data do we have and can trust - multiple sources.",selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,selected,NA,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Public Safety and Solicitor General,Executive users,NA,selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,NA,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected
Public Safety and Solicitor General,Business users,NA,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,selected,selected,not selected,not selected,selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,"Up-to-date, authoritative base map data (roads, land use, etc.), that is complete across the province. Or even just the ability to update corporately stored and managed datasets with better information that I have.",selected,not selected,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,NA,not selected,selected,selected,selected,selected,not selected,not selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
Public Safety and Solicitor General,Executive users,Access to data,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,NA,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Public Safety and Solicitor General,Business users,Lack of accessible and quality data,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Education,Data professionals,"Data collection process is multi-layered and not transparent.
Insufficient knowledge on suitability of different business intelligence tools for our reporting purposes.

",not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,NA,selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
Education,Data professionals,"duplication of efforts, lack of clear communication among staff involved with data analysis and reporting, insufficient training opportunities to learn better, more efficient ways to analyze data, very poor budget to allow staff to attend annual conferences for professional development purposes",selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,selected,not selected,selected,selected,not selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,selected,selected,selected,not selected
Social Development and Poverty Reduction,Business users,Data Integration and resourcing to support the data warehouse,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,selected,not selected,NA,selected,selected,selected,selected,not selected,selected,not selected,selected,selected,not selected,not selected
BC Public Service Agency,Business users,Getting up-to-date information on employees. So many people move from position to position or join government and it can be challenging to get an accurate list when trying to segment lists for invitations to programs and events.,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,NA,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected
BC Public Service Agency,Executive users,Ability to integrate and link data over which we have control.  ability to link to other related government data for research purposes.,selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected
BC Public Service Agency,Business users,n/a - I don't typically use data in my role,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,NA,selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Citizens' Services,Data professionals,"a challenge is to build cloud native infrastructure for data analysis in a safe, secure, geographically appropriate way",not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,NA,selected,selected,selected,not selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected
Health,Data professionals,Finding the tables with the right information amidst the hordes of tables,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,selected,not selected,not selected,selected,selected,selected,NA,selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,NA,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,selected,selected,not selected,not selected,not selected,selected,NA,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected
Public Safety and Solicitor General,Executive users,Stale and silo'd data.  Would like real time and integrated data.,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,NA,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,NA,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected
BC Public Service Agency,Business users,"depending on the report, how is the best way, search fields, format to get the report that I want for my business purposes",not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
BC Public Service Agency,Business users,"lack of data about key workplace issues, particularly health and safety",not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Education,Business users,Understanding the breadth of data that is available and also how new data and current needs can be facilitated that may not fit with existing systems,selected,selected,selected,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,not selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,selected,not selected,selected
Administrative tribunal- Other,Business users,"Data is not organized well. It is deep in separate case files and more modern needs to summarize trends is impossible without a lot of labour to lift it into comparable data spreadsheet columns. Low Risk tolerance related to administrative justice privacy and confidentiality, legal concerns prevents the group from reaching out to use pre-made platforms, or making use of systems used in other groups across BCPS. Its also hampered by extremely small size of office team and legacy skills deficit. Little time spent in training when always responding to the crisis of the day. As a manager, I carry higher level of skills, but the job description does not lend itself to substituting the skills gap of other staff.",selected,selected,selected,not selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,selected,staff needs to understand the relationship between data collection and performance management,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,"focus on the advanced use of excel, access, Share Point",not selected,selected,selected,selected,not selected,selected,selected,selected,not selected,not selected,not selected
Attorney General,Business users,Lack of BI tools and Executive reporting.,not selected,selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,Creating value from data - How data can tell the story,not selected,selected,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected
Citizens' Services,Business users,NA,selected,not selected,selected,not selected,not selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,selected,selected,NA,not selected,selected,not selected,selected,selected,not selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected
"Jobs, Trade and Technology",Business users,"Lack of data available for geographical breakdowns, outside of things like Census Profiles. This would be helpful both for supporting our community partners and for fulfilling requests from within government.",not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,selected,NA,not selected,selected,not selected,selected,not selected,not selected,selected,selected,NA,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,selected,not selected
Public Safety and Solicitor General,Business users,Consistency of using the same data collection between agencies/units within government,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,Conflicting data sets between ministries/agencies inside and outside government,selected,selected,not selected,selected,selected,not selected,not selected,selected,NA,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Agriculture,Business users,Availability and accessibility (appropriate and accessible user tools).,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,not selected,selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Municipal Affairs and Housing,Business users,Easily accessible organized data in a centralized location,selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,NA,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Health,Business users,"When data is presented/found/mined, it often has a historical context that is not shown - ie the purpose the original staff conceived of as the reason for requiring the data, and how it connects to their assumptions/environment/deliverables at the time. 

Along the way, other ideas/contexts/requirements are designed, and sometimes data stops being pulled and ultimately forgotten, or gets entered in a different way in different locations due to lack of historical knowledge/larger understanding of a data set (or that it exists) as roles and tasks get hived off or moved around to different staff/branches/divisions. 

Moreover, any manuals or training materials that exist often describe ""how"" to do the work, but not the ""why"" we do the work (ie this feeds into a larger data set that is used by these professionals at this point in their jobs on the ground). 

It would be beneficial to have a hover-able explanation for each data entry point, and data result point, built into our data providing context and original purposes for the data and why it was deemed necessary/valuable. Otherwise, we get consistent ""garbage in, garbage out"" due to lack of understanding (which is not the same as lack of care). This would benefit staff connect with their work, performance, and provide better understanding of government writ large.",selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,Data Bias and how to Unravel it,selected,selected,selected,selected,selected,selected,selected,selected,Mapping and Data,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,Sharing data,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,not selected,not selected,selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,Accuracy and quality of BCGW data being used in analysis.,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,selected,selected,not selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
Environment and Climate Change Strategy,Data professionals,Finding the work time/getting approval to spend it on projects or training that will maintain and develop my data manipulation and analysis skills.,selected,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,NA,selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected
Agriculture,Business users,"Lack of access to technology (only Microsoft excel), no easy way to visually display or present data that is easy for non data users to understand, lack of consistency on the need for data.",selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,NA,not selected,not selected,selected,selected,not selected,not selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected
Citizens' Services,Executive users,Integration,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected
Environment and Climate Change Strategy,Data professionals,How to support the shift from data warehousing to data APIs for access to data.,selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,NA,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,NA,selected,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
